"FY0 1YS",10,333634,429165,"E92000001","E19000001","E18000002","E10000017","E07000119","E05005193"
"FY1 1AD",10,330862,436347,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1AN",10,330648,436571,"E92000001","E19000001","E18000002","","E06000009","E05001647"
"FY1 1AP",10,330548,436190,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1BA",10,330918,436383,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1BB",10,330862,436347,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1BH",10,330938,436340,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1BN",10,330879,436441,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1BP",10,330961,436297,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1DA",10,330841,436376,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1DE",10,330887,436310,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1DG",10,330822,436296,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1DH",10,330794,436402,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1DL",10,330889,436288,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1DR",10,330869,436277,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1DU",10,330761,436296,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1DW",10,330791,436326,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1DX",10,330862,436347,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1EG",10,330777,436259,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1EJ",10,330728,436230,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1EL",10,330862,436347,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1EN",10,330727,436247,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1EP",10,330680,436231,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1EQ",10,330862,436347,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1ER",10,330862,436347,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1ET",10,330623,436283,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1EW",10,330660,436203,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1EX",10,330632,436222,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1EZ",10,330614,436233,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1GB",10,330862,436347,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1GG",10,330862,436347,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1GT",10,330862,436347,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1HA",10,330628,436256,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1HB",10,330596,436258,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1HE",10,330596,436258,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1HH",10,330613,436212,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1HJ",10,330685,436163,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1HP",10,330780,436229,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1HQ",10,330801,436518,"E92000001","E19000001","E18000002","","E06000009","E05001647"
"FY1 1HT",10,330749,436175,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1HU",10,330867,436222,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1HW",10,330892,436161,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1HZ",10,331004,436226,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1JA",10,330984,436270,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1JD",10,330745,436330,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1JP",10,330783,436369,"E92000001","E19000001","E18000002","","E06000009","E05001659"
"FY1 1JQ",10,330791,436326,"E92000001","E19000001","E18000002","","E06000009","E05001659"
