Bolton District (B),E08000001
Bury District (B),E08000002
Manchester District (B),E08000003
Oldham District (B),E08000004
Rochdale District (B),E08000005
Salford District (B),E08000006
Stockport District (B),E08000007
Tameside District (B),E08000008
Trafford District (B),E08000009
Wigan District (B),E08000010
Knowsley District (B),E08000011
Liverpool District (B),E08000012
St. Helens District (B),E08000013
Sefton District (B),E08000014
Wirral District (B),E08000015
Barnsley District (B),E08000016
Doncaster District (B),E08000017
Rotherham District (B),E08000018
Sheffield District (B),E08000019
Gateshead District (B),E08000020
Newcastle upon Tyne District (B),E08000021
North Tyneside District (B),E08000022
South Tyneside District (B),E08000023
Sunderland District (B),E08000024
Birmingham District (B),E08000025
Coventry District (B),E08000026
Dudley District (B),E08000027
Sandwell District (B),E08000028
Solihull District (B),E08000029
Walsall District (B),E08000030
City of Wolverhampton District (B),E08000031
Bradford District (B),E08000032
Calderdale District (B),E08000033
Kirklees District (B),E08000034
Leeds District (B),E08000035
Wakefield District (B),E08000036
