Astley Bridge Ward,E05000650
Bradshaw Ward,E05000651
Breightmet Ward,E05000652
Bromley Cross Ward,E05000653
Crompton Ward,E05000654
Farnworth Ward,E05000655
Great Lever Ward,E05000656
Halliwell Ward,E05000657
Harper Green Ward,E05000658
Heaton and Lostock Ward,E05000659
Horwich and Blackrod Ward,E05000660
Horwich North East Ward,E05000661
Hulton Ward,E05000662
Kearsley Ward,E05000663
Little Lever and Darcy Lever Ward,E05000664
Rumworth Ward,E05000665
Smithills Ward,E05000666
Tonge with the Haulgh Ward,E05000667
Westhoughton North and Chew Moor Ward,E05000668
Westhoughton South Ward,E05000669
Besses Ward,E05000670
Church Ward,E05000671
East Ward,E05000672
Elton Ward,E05000673
Holyrood Ward,E05000674
Moorside Ward,E05000675
North Manor Ward,E05000676
Pilkington Park Ward,E05000677
Radcliffe East Ward,E05000678
Radcliffe North Ward,E05000679
Radcliffe West Ward,E05000680
Ramsbottom Ward,E05000681
Redvales Ward,E05000682
St. Mary's Ward,E05000683
Sedgley Ward,E05000684
Tottington Ward,E05000685
Unsworth Ward,E05000686
Ancoats and Clayton Ward,E05000687
Ardwick Ward,E05000688
Baguley Ward,E05000689
Bradford Ward,E05000690
Brooklands Ward,E05000691
Burnage Ward,E05000692
Charlestown Ward,E05000693
Cheetham Ward,E05000694
Chorlton Ward,E05000695
Chorlton Park Ward,E05000696
City Centre Ward,E05000697
Crumpsall Ward,E05000698
Didsbury East Ward,E05000699
Didsbury West Ward,E05000700
Fallowfield Ward,E05000701
Gorton North Ward,E05000702
Gorton South Ward,E05000703
Harpurhey Ward,E05000704
Higher Blackley Ward,E05000705
Hulme Ward,E05000706
Levenshulme Ward,E05000707
Longsight Ward,E05000708
Miles Platting and Newton Heath Ward,E05000709
Moss Side Ward,E05000710
Moston Ward,E05000711
Northenden Ward,E05000712
Old Moat Ward,E05000713
Rusholme Ward,E05000714
Sharston Ward,E05000715
Whalley Range Ward,E05000716
Withington Ward,E05000717
Woodhouse Park Ward,E05000718
Alexandra Ward,E05000719
Chadderton Central Ward,E05000720
Chadderton North Ward,E05000721
Chadderton South Ward,E05000722
Coldhurst Ward,E05000723
Crompton Ward,E05000724
Failsworth East Ward,E05000725
Failsworth West Ward,E05000726
Hollinwood Ward,E05000727
Medlock Vale Ward,E05000728
Royton North Ward,E05000729
Royton South Ward,E05000730
Saddleworth North Ward,E05000731
Saddleworth South Ward,E05000732
Saddleworth West and Lees Ward,E05000733
St. James' Ward,E05000734
St. Mary's Ward,E05000735
Shaw Ward,E05000736
Waterhead Ward,E05000737
Werneth Ward,E05000738
Balderstone and Kirkholt Ward,E05000739
Bamford Ward,E05000740
Castleton Ward,E05000741
Central Rochdale Ward,E05000742
East Middleton Ward,E05000743
Healey Ward,E05000744
Hopwood Hall Ward,E05000745
Kingsway Ward,E05000746
Littleborough Lakeside Ward,E05000747
Milkstone and Deeplish Ward,E05000748
Milnrow and Newhey Ward,E05000749
Norden Ward,E05000750
North Heywood Ward,E05000751
North Middleton Ward,E05000752
Smallbridge and Firgrove Ward,E05000753
South Middleton Ward,E05000754
Spotland and Falinge Ward,E05000755
Wardle and West Littleborough Ward,E05000756
West Heywood Ward,E05000757
West Middleton Ward,E05000758
Barton Ward,E05000759
Boothstown and Ellenbrook Ward,E05000760
Broughton Ward,E05000761
Cadishead Ward,E05000762
Claremont Ward,E05000763
Eccles Ward,E05000764
Irlam Ward,E05000765
