Hartlepool (B),E06000001
Middlesbrough (B),E06000002
Redcar and Cleveland (B),E06000003
Stockton-on-Tees (B),E06000004
Darlington (B),E06000005
Halton (B),E06000006
Warrington (B),E06000007
Blackburn with Darwen (B),E06000008
Blackpool (B),E06000009
City of Kingston upon Hull (B),E06000010
East Riding of Yorkshire,E06000011
North East Lincolnshire (B),E06000012
North Lincolnshire (B),E06000013
York (B),E06000014
City of Derby (B),E06000015
City of Leicester (B),E06000016
Rutland,E06000017
City of Nottingham (B),E06000018
County of Herefordshire,E06000019
Telford and Wrekin (B),E06000020
City of Stoke-on-Trent (B),E06000021
Bath and North East Somerset,E06000022
City of Bristol (B),E06000023
North Somerset,E06000024
South Gloucestershire,E06000025
City of Plymouth (B),E06000026
Torbay (B),E06000027
Bournemouth (B),E06000028
Poole (B),E06000029
Swindon (B),E06000030
City of Peterborough (B),E06000031
Luton (B),E06000032
Southend-on-Sea (B),E06000033
Thurrock (B),E06000034
Medway (B),E06000035
Bracknell Forest (B),E06000036
West Berkshire,E06000037
Reading (B),E06000038
Slough (B),E06000039
Windsor and Maidenhead (B),E06000040
Wokingham (B),E06000041
Milton Keynes (B),E06000042
The City of Brighton and Hove (B),E06000043
City of Portsmouth (B),E06000044
City of Southampton (B),E06000045
Isle of Wight,E06000046
County Durham,E06000047
Northumberland,E06000048
Cheshire East (B),E06000049
Cheshire West and Chester (B),E06000050
Shropshire,E06000051
Cornwall,E06000052
Isles of Scilly,E06000053
Wiltshire,E06000054
Bedford (B),E06000055
Central Bedfordshire,E06000056
Clackmannanshire,S12000005
Dumfries and Galloway,S12000006
East Ayrshire,S12000008
East Lothian,S12000010
East Renfrewshire,S12000011
Na h-Eileanan an Iar,S12000013
Falkirk,S12000014
Fife,S12000015
Highland,S12000017
Inverclyde,S12000018
Midlothian,S12000019
Moray,S12000020
North Ayrshire,S12000021
Orkney Islands,S12000023
Perth and Kinross,S12000024
Scottish Borders,S12000026
Shetland Islands,S12000027
South Ayrshire,S12000028
South Lanarkshire,S12000029
Stirling,S12000030
Aberdeen City,S12000033
Aberdeenshire,S12000034
Argyll and Bute,S12000035
City of Edinburgh,S12000036
Renfrewshire,S12000038
West Dunbartonshire,S12000039
West Lothian,S12000040
Angus,S12000041
Dundee City,S12000042
North Lanarkshire,S12000044
East Dunbartonshire,S12000045
Glasgow City,S12000046
Sir Ynys Mon - Isle of Anglesey,W06000001
Gwynedd - Gwynedd,W06000002
Conwy - Conwy,W06000003
Sir Ddinbych - Denbighshire,W06000004
Sir y Fflint - Flintshire,W06000005
Wrecsam - Wrexham,W06000006
Sir Ceredigion - Ceredigion,W06000008
Sir Benfro - Pembrokeshire,W06000009
Sir Gaerfyrddin - Carmarthenshire,W06000010
Abertawe - Swansea,W06000011
Castell-nedd Port Talbot - Neath Port Talbot,W06000012
Pen-y-bont ar Ogwr - Bridgend,W06000013
Bro Morgannwg - the Vale of Glamorgan,W06000014
Caerdydd - Cardiff,W06000015
Rhondda Cynon Taf - Rhondda Cynon Taf,W06000016
Caerffili - Caerphilly,W06000018
Blaenau Gwent - Blaenau Gwent,W06000019
Tor-faen - Torfaen,W06000020
Sir Fynwy - Monmouthshire,W06000021
Casnewydd - Newport,W06000022
Powys - Powys,W06000023
Merthyr Tudful - Merthyr Tydfil,W06000024
