Acklam Ward,E05001482
Ayresome Ward,E05001483
Beckfield Ward,E05001484
Beechwood Ward,E05001485
Brookfield Ward,E05001486
Clairville Ward,E05001487
Coulby Newham Ward,E05001488
Gresham Ward,E05001489
Hemlington Ward,E05001490
Kader Ward,E05001491
Ladgate Ward,E05001492
Linthorpe Ward,E05001493
North Ormesby and Brambles Farm Ward,E05001494
Marton Ward,E05001495
Marton West Ward,E05001496
Middlehaven Ward,E05001497
Nunthorpe Ward,E05001498
Pallister Ward,E05001499
Park Ward,E05001500
Park End Ward,E05001501
Stainton and Thornton Ward,E05001502
Thorntree Ward,E05001503
University Ward,E05001504
Brotton Ward,E05001505
Coatham Ward,E05001506
Dormanstown Ward,E05001507
Eston Ward,E05001508
Grangetown Ward,E05001509
Guisborough Ward,E05001510
Hutton Ward,E05001511
Kirkleatham Ward,E05001512
Lockwood Ward,E05001513
Loftus Ward,E05001514
Longbeck Ward,E05001515
Newcomen Ward,E05001516
Normanby Ward,E05001517
Ormesby Ward,E05001518
St. Germain's Ward,E05001519
Saltburn Ward,E05001520
Skelton Ward,E05001521
South Bank Ward,E05001522
Teesville Ward,E05001523
West Dyke Ward,E05001524
Westworth Ward,E05001525
Zetland Ward,E05001526
Billingham Central Ward,E05001527
Billingham East Ward,E05001528
Billingham North Ward,E05001529
Billingham South Ward,E05001530
Billingham West Ward,E05001531
Bishopsgarth and Elm Tree Ward,E05001532
Eaglescliffe Ward,E05001533
Fairfield Ward,E05001534
Grangefield Ward,E05001535
Hardwick Ward,E05001536
Hartburn Ward,E05001537
Ingleby Barwick East Ward,E05001538
Ingleby Barwick West Ward,E05001539
Mandale and Victoria Ward,E05001540
Newtown Ward,E05001541
Northern Parishes Ward,E05001542
Norton North Ward,E05001543
Norton South Ward,E05001544
Norton West Ward,E05001545
Parkfield and Oxbridge Ward,E05001546
Roseworth Ward,E05001547
Stainsby Hill Ward,E05001548
Stockton Town Centre Ward,E05001549
Village Ward,E05001550
Western Parishes Ward,E05001551
Yarm Ward,E05001552
Bank Top Ward,E05001553
Central Ward,E05001554
Cockerton East Ward,E05001555
Cockerton West Ward,E05001556
College Ward,E05001557
Eastbourne Ward,E05001558
Faverdale Ward,E05001559
Harrowgate Hill Ward,E05001560
Haughton East Ward,E05001561
Haughton North Ward,E05001562
Haughton West Ward,E05001563
Heighington and Coniscliffe Ward,E05001564
Hummersknott Ward,E05001565
Hurworth Ward,E05001566
Lascelles Ward,E05001567
Lingfield Ward,E05001568
Middleton St. George Ward,E05001569
Mowden Ward,E05001570
North Road Ward,E05001571
Northgate Ward,E05001572
Park East Ward,E05001573
Park West Ward,E05001574
Pierremont Ward,E05001575
Sadberge and Whessoe Ward,E05001576
Appleton Ward,E05001577
Beechwood Ward,E05001578
Birchfield Ward,E05001579
Broadheath Ward,E05001580
Halton Castle Ward,E05001581
Daresbury Ward,E05001582
Ditton Ward,E05001583
Farnworth Ward,E05001584
Grange Ward,E05001585
Hale Ward,E05001586
Halton Brook Ward,E05001587
Halton Lea Ward,E05001588
Halton View Ward,E05001589
Heath Ward,E05001590
Hough Green Ward,E05001591
Kingsway Ward,E05001592
Mersey Ward,E05001593
Norton North Ward,E05001594
Norton South Ward,E05001595
Riverside Ward,E05001596
Windmill Hill Ward,E05001597
Appleton Ward,E05001598
Bewsey and Whitecross Ward,E05001599
Birchwood Ward,E05001600
Burtonwood and Winwick Ward,E05001601
"Culcheth, Glazebury and Croft Ward",E05001602
Fairfield and Howley Ward,E05001603
Grappenhall and Thelwall Ward,E05001604
Great Sankey North Ward,E05001605
Great Sankey South Ward,E05001606
"Hatton, Stretton and Walton Ward",E05001607
Latchford East Ward,E05001608
Latchford West Ward,E05001609
Lymm Ward,E05001610
Orford Ward,E05001611
Penketh and Cuerdley Ward,E05001612
Poplars and Hulme Ward,E05001613
Poulton North Ward,E05001614
Poulton South Ward,E05001615
Rixton and Woolston Ward,E05001616
Stockton Heath Ward,E05001617
Westbrook Ward,E05001618
Whittle Hall Ward,E05001619
Audley Ward,E05001620
Bastwell Ward,E05001621
Beardwood with Lammack Ward,E05001622
Corporation Park Ward,E05001623
Earcroft Ward,E05001624
East Rural Ward,E05001625
Ewood Ward,E05001626
Fernhurst Ward,E05001627
Higher Croft Ward,E05001628
Little Harwood Ward,E05001629
Livesey with Pleasington Ward,E05001630
Marsh House Ward,E05001631
Meadowhead Ward,E05001632
Mill Hill Ward,E05001633
North Turton with Tockholes Ward,E05001634
Queen's Park Ward,E05001635
Roe Lee Ward,E05001636
Shadsworth with Whitebirk Ward,E05001637
Shear Brow Ward,E05001638
Sudell Ward,E05001639
Sunnyhurst Ward,E05001640
Wensley Fold Ward,E05001641
Whitehall Ward,E05001642
Anchorsholme Ward,E05001643
Bispham Ward,E05001644
Bloomfield Ward,E05001645
Brunswick Ward,E05001646
Claremont Ward,E05001647
Clifton Ward,E05001648
Greenlands Ward,E05001649
Hawes Side Ward,E05001650
Highfield Ward,E05001651
Ingthorpe Ward,E05001652
Layton Ward,E05001653
Marton Ward,E05001654
Norbreck Ward,E05001655
Park Ward,E05001656
Squires Gate Ward,E05001657
Stanley Ward,E05001658
Talbot Ward,E05001659
Tyldesley Ward,E05001660
Victoria Ward,E05001661
Warbreck Ward,E05001662
Waterloo Ward,E05001663
Avenue Ward,E05001664
Beverley Ward,E05001665
Boothferry Ward,E05001666
Bransholme East Ward,E05001667
Bransholme West Ward,E05001668
